City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
153,Laguna,US,2020-03-01 16:41:15,38.42,-121.42,53.01,53,75,8.05,broken clouds,0.0,0.0
154,Van,TR,2020-03-01 16:41:15,38.49,43.38,35.6,93,75,4.7,light rain and snow,0.0,0.0
155,Nome,US,2020-03-01 16:40:20,64.5,-165.41,6.8,55,1,12.75,clear sky,0.0,0.0
156,Kijang,KR,2020-03-01 16:41:16,35.24,129.21,50.0,76,75,1.12,broken clouds,0.0,0.0
157,Sao Joao Da Barra,BR,2020-03-01 16:41:16,-21.64,-41.05,86.0,66,75,15.82,broken clouds,0.0,0.0
158,Kantang,TH,2020-03-01 16:41:17,7.41,99.52,72.79,90,70,3.38,broken clouds,0.0,0.0
159,Bandarbeyla,SO,2020-03-01 16:41:17,9.49,50.81,77.4,73,98,14.38,overcast clouds,0.0,0.0
160,San Carlos Del Zulia,VE,2020-03-01 16:41:17,9.0,-71.91,93.34,41,63,2.64,broken clouds,0.0,0.0
161,Gutierrez,CO,2020-03-01 16:41:17,4.25,-74.0,86.0,51,40,3.36,haze,0.0,0.0
162,Tashtyp,RU,2020-03-01 16:41:17,52.79,89.9,22.37,96,100,3.67,light snow,0.0,0.13
163,Le Port,RE,2020-03-01 16:41:18,-20.94,55.29,80.6,88,90,6.93,overcast clouds,0.0,0.0
164,Marzuq,YE,2020-03-01 16:41:18,14.4,46.47,68.16,53,0,4.41,clear sky,0.0,0.0
165,Tiksi,RU,2020-03-01 16:41:18,71.69,128.87,-6.54,88,0,11.48,clear sky,0.0,0.0
166,Faya,SA,2020-03-01 16:41:18,18.39,42.45,64.4,59,0,8.05,clear sky,0.0,0.0
167,Longyearbyen,SJ,2020-03-01 16:41:19,78.22,15.64,-4.0,76,20,1.43,few clouds,0.0,0.0
168,Partanna,IT,2020-03-01 16:41:19,37.73,12.89,68.0,63,20,11.41,few clouds,0.0,0.0
169,Lodja,CD,2020-03-01 16:41:19,-3.48,23.43,74.26,81,95,2.89,light rain,0.19,0.0
170,Evensk,RU,2020-03-01 16:41:19,61.95,159.23,4.05,57,0,8.5,clear sky,0.0,0.0
171,Dingle,PH,2020-03-01 16:41:19,11.0,122.67,72.41,85,0,11.39,clear sky,0.0,0.0
